Sub-branch INTERRUPTED (thread 49, pair1 1 orient1 0 pair2 29 orient2 0): 3300330660 nodes, 0 C3-valid, 0 solutions, 147s elapsed
Sub-branch INTERRUPTED (thread 50, pair1 1 orient1 0 pair2 29 orient2 1): 3300330718 nodes, 0 C3-valid, 0 solutions, 148s elapsed
Sub-branch INTERRUPTED (thread 16, pair1 1 orient1 0 pair2 11 orient2 0): 3300330752 nodes, 0 C3-valid, 0 solutions, 149s elapsed
Sub-branch INTERRUPTED (thread 14, pair1 1 orient1 0 pair2 10 orient2 0): 3300330752 nodes, 0 C3-valid, 0 solutions, 149s elapsed
Sub-branch INTERRUPTED (thread 15, pair1 1 orient1 0 pair2 10 orient2 1): 3300330752 nodes, 0 C3-valid, 0 solutions, 149s elapsed
Sub-branch INTERRUPTED (thread 45, pair1 1 orient1 0 pair2 26 orient2 1): 3300330728 nodes, 250174 C3-valid, 0 solutions, 150s elapsed
Sub-branch INTERRUPTED (thread 44, pair1 1 orient1 0 pair2 26 orient2 0): 3300330728 nodes, 250174 C3-valid, 0 solutions, 150s elapsed
Sub-branch INTERRUPTED (thread 11, pair1 1 orient1 0 pair2 8 orient2 1): 3300330752 nodes, 2639920 C3-valid, 0 solutions, 151s elapsed
Sub-branch INTERRUPTED (thread 46, pair1 1 orient1 0 pair2 27 orient2 1): 3300330729 nodes, 0 C3-valid, 0 solutions, 151s elapsed
Sub-branch INTERRUPTED (thread 17, pair1 1 orient1 0 pair2 11 orient2 1): 3300330724 nodes, 0 C3-valid, 0 solutions, 152s elapsed
Sub-branch INTERRUPTED (thread 35, pair1 1 orient1 0 pair2 21 orient2 1): 3300330716 nodes, 1815960 C3-valid, 0 solutions, 152s elapsed
Sub-branch INTERRUPTED (thread 53, pair1 1 orient1 0 pair2 31 orient2 1): 3300330652 nodes, 262544 C3-valid, 0 solutions, 152s elapsed
Sub-branch INTERRUPTED (thread 57, pair1 1 orient1 1 pair2 3 orient2 1): 3300330741 nodes, 896544 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 59, pair1 1 orient1 1 pair2 4 orient2 1): 3300330741 nodes, 896544 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 2, pair1 1 orient1 0 pair2 3 orient2 0): 3300330741 nodes, 896544 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 9, pair1 1 orient1 0 pair2 7 orient2 0): 3300330724 nodes, 2365492 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 5, pair1 1 orient1 0 pair2 4 orient2 1): 3300330741 nodes, 896544 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 10, pair1 1 orient1 0 pair2 7 orient2 1): 3300330724 nodes, 2365492 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 63, pair1 1 orient1 1 pair2 7 orient2 0): 3300330724 nodes, 2365492 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 33, pair1 1 orient1 0 pair2 20 orient2 0): 3300330721 nodes, 0 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 34, pair1 1 orient1 0 pair2 20 orient2 1): 3300330719 nodes, 0 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 0, pair1 1 orient1 0 pair2 2 orient2 0): 3300330744 nodes, 737224 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 55, pair1 1 orient1 1 pair2 2 orient2 1): 3300330744 nodes, 737224 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 42, pair1 1 orient1 0 pair2 25 orient2 0): 3300330753 nodes, 0 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 19, pair1 1 orient1 0 pair2 12 orient2 1): 3300330735 nodes, 0 C3-valid, 0 solutions, 154s elapsed
Sub-branch INTERRUPTED (thread 18, pair1 1 orient1 0 pair2 12 orient2 0): 3300330735 nodes, 0 C3-valid, 0 solutions, 155s elapsed
Sub-branch INTERRUPTED (thread 38, pair1 1 orient1 0 pair2 23 orient2 0): 3300330722 nodes, 5102152 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 43, pair1 1 orient1 0 pair2 25 orient2 1): 3300330736 nodes, 0 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 24, pair1 1 orient1 0 pair2 15 orient2 1): 3300330739 nodes, 0 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 39, pair1 1 orient1 0 pair2 23 orient2 1): 3300330751 nodes, 4650880 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 60, pair1 1 orient1 1 pair2 5 orient2 0): 3300330741 nodes, 4896120 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 8, pair1 1 orient1 0 pair2 6 orient2 1): 3300330724 nodes, 6363700 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 6, pair1 1 orient1 0 pair2 5 orient2 0): 3300330741 nodes, 4896120 C3-valid, 0 solutions, 156s elapsed
Sub-branch INTERRUPTED (thread 7, pair1 1 orient1 0 pair2 5 orient2 1): 3300330741 nodes, 4896120 C3-valid, 0 solutions, 156s elapsed
