Time limit: 14400 seconds
Node limit: 10000000000000 (reproducible mode)
Build: Apr 12 2026 03:29:49
King Wen complement distance (x64): 776 (= 12.1250)
Difference distribution: 1:2 2:20 3:13 4:19 6:9 
Super-pairs: 20
Hash table: 4194304 slots (2^22) x 32 bytes = 128 MB per thread
Per-branch node limit: 178571428571 (10000000000000 total / 56 branches)
Total hash memory: 7168 MB (56 threads x 128 MB)
Branches: 56 remaining (56 total), Threads: 56
Time limit: 14400 seconds (4.0 hours)
CPU cores detected: 64

Starting enumeration...

  12.5B nodes, 894.1M sol, 38089502 C3 (1022271 stored), 0/56 branches (0%), 0/56 threads, 1246M/s, 10s
  25.0B nodes, 1813.5M sol, 75418362 C3 (1688335 stored), 0/56 branches (0%), 0/56 threads, 1248M/s, 20s
  37.6B nodes, 2789.6M sol, 112302428 C3 (2506170 stored), 0/56 branches (0%), 0/56 threads, 1253M/s, 30s
  50.1B nodes, 3786.3M sol, 148131457 C3 (3444602 stored), 0/56 branches (0%), 0/56 threads, 1253M/s, 40s
  62.6B nodes, 4734.3M sol, 184192622 C3 (4031668 stored), 0/56 branches (0%), 0/56 threads, 1253M/s, 50s
  75.1B nodes, 5714.3M sol, 222798918 C3 (4519202 stored), 0/56 branches (0%), 0/56 threads, 1252M/s, 60s
  87.8B nodes, 6746.8M sol, 256211601 C3 (5327765 stored), 0/56 branches (0%), 0/56 threads, 1254M/s, 70s
  100.5B nodes, 7791.6M sol, 283495549 C3 (5797314 stored), 0/56 branches (0%), 0/56 threads, 1256M/s, 80s
  113.3B nodes, 8793.0M sol, 309196211 C3 (6168565 stored), 0/56 branches (0%), 0/56 threads, 1259M/s, 90s
  126.1B nodes, 9736.4M sol, 332071611 C3 (6438966 stored), 0/56 branches (0%), 0/56 threads, 1261M/s, 100s
  138.9B nodes, 10652.1M sol, 352507248 C3 (6705644 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 110s
  151.7B nodes, 11560.9M sol, 372866699 C3 (6947822 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 120s
  164.6B nodes, 12483.6M sol, 393869734 C3 (7340843 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 130s
  177.4B nodes, 13419.0M sol, 421381410 C3 (7787192 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 140s
  190.3B nodes, 14383.9M sol, 447687812 C3 (8237003 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 150s
  203.1B nodes, 15284.9M sol, 472634460 C3 (8574354 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 160s
  215.9B nodes, 16214.0M sol, 496826327 C3 (8977670 stored), 0/56 branches (0%), 0/56 threads, 1270M/s, 170s
  228.6B nodes, 17078.7M sol, 524265048 C3 (9491498 stored), 0/56 branches (0%), 0/56 threads, 1270M/s, 180s
  241.2B nodes, 17858.8M sol, 550805122 C3 (9915445 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 190s
  253.8B nodes, 18626.8M sol, 576792540 C3 (10323993 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 200s
  266.3B nodes, 19361.6M sol, 609701696 C3 (10830800 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 210s
  278.7B nodes, 20028.7M sol, 645505442 C3 (11260866 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 220s
  291.2B nodes, 20715.2M sol, 676902597 C3 (11629572 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 230s
  303.7B nodes, 21408.6M sol, 707099683 C3 (11964611 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 240s
  316.1B nodes, 22118.4M sol, 736953100 C3 (12270095 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 250s
  328.6B nodes, 22850.4M sol, 769925627 C3 (12869490 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 260s
  341.1B nodes, 23589.3M sol, 805171093 C3 (13489939 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 270s
  353.5B nodes, 24347.1M sol, 845812920 C3 (13903067 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 280s
  366.1B nodes, 25107.3M sol, 878957483 C3 (14260557 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 290s
  378.7B nodes, 25792.5M sol, 906455929 C3 (14763770 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 300s
  391.4B nodes, 26421.1M sol, 927862826 C3 (15127059 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 310s
  404.1B nodes, 27141.3M sol, 950527010 C3 (15438742 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 320s
  416.9B nodes, 27888.7M sol, 973591534 C3 (15757059 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 330s
  429.7B nodes, 28593.4M sol, 994480198 C3 (16041359 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 340s
  442.6B nodes, 29319.3M sol, 1014031788 C3 (16380424 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 350s
  455.2B nodes, 30026.6M sol, 1036959563 C3 (16743061 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 360s
  467.9B nodes, 30725.0M sol, 1061130463 C3 (17057503 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 370s
  480.5B nodes, 31397.5M sol, 1085045318 C3 (17316042 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 380s
  493.2B nodes, 32078.3M sol, 1108044386 C3 (17489779 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 390s
  505.8B nodes, 32758.2M sol, 1135105443 C3 (17688394 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 400s
  518.4B nodes, 33373.9M sol, 1167756699 C3 (17805987 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 410s
