depth	seed	reached	exact_c3	est_c3	est_ci_lo	est_ci_hi
20	20008	20	0	0.000000e+00	0.0000e+00	0.0000e+00
20	20015	20	0	0.000000e+00	0.0000e+00	0.0000e+00
20	20022	20	0	0.000000e+00	0.0000e+00	0.0000e+00
20	20029	20	0	0.000000e+00	0.0000e+00	0.0000e+00
20	20036	20	253232	2.529657e+05	2.5218e+05	2.5375e+05
20	20043	20	0	0.000000e+00	0.0000e+00	0.0000e+00
20	20050	20	0	0.000000e+00	0.0000e+00	0.0000e+00
20	20057	20	75971424	7.595817e+07	7.5932e+07	7.5985e+07
22	22008	22	0	0.000000e+00	0.0000e+00	0.0000e+00
22	22015	22	1106032	1.106336e+06	1.1061e+06	1.1066e+06
22	22022	22	0	0.000000e+00	0.0000e+00	0.0000e+00
22	22029	22	0	0.000000e+00	0.0000e+00	0.0000e+00
22	22036	22	0	0.000000e+00	0.0000e+00	0.0000e+00
22	22043	22	0	0.000000e+00	0.0000e+00	0.0000e+00
22	22050	22	0	0.000000e+00	0.0000e+00	0.0000e+00
22	22057	22	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24008	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24015	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24022	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24029	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24036	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24043	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24050	24	0	0.000000e+00	0.0000e+00	0.0000e+00
24	24057	24	0	0.000000e+00	0.0000e+00	0.0000e+00
