[knuth] R5 SUBTREE SAMPLER: depth=20 roots=10000 probes/root=1000, 0 prefix level(s)
KNUTH_SUBTREE_HEADER depth=20 roots=10000 probes=1000 start_step=1
KNUTH_SUBTREE root=0 depth=20 w=7.2876274869e+29 Shat=1.9445692641e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=1 depth=20 w=1.3310255744e+30 Shat=6.5721012564e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=2 depth=20 w=1.1735917307e+30 Shat=2.4379919652e+10 Lhat=5.6787483312e+08
KNUTH_SUBTREE root=3 depth=20 w=1.1855776200e+30 Shat=1.0127378207e+11 Lhat=5.9963402601e+09
KNUTH_SUBTREE root=4 depth=20 w=2.4372951803e+29 Shat=1.7944313139e+10 Lhat=7.1840563200e+07
KNUTH_SUBTREE root=5 depth=20 w=3.4953386125e+29 Shat=2.0822978193e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=6 depth=20 w=1.0825667852e+30 Shat=9.8620019709e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=7 depth=20 w=1.2040504539e+30 Shat=1.0182292640e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=8 depth=20 w=2.9352293220e+29 Shat=2.0800010831e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=9 depth=20 w=4.3707861361e+29 Shat=1.7671502615e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=10 depth=20 w=1.2383294312e+30 Shat=2.7010517973e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=11 depth=20 w=1.3304832539e+30 Shat=1.4728168510e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=12 depth=20 w=1.3144193565e+30 Shat=9.8427589267e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=13 depth=20 w=6.1796983908e+29 Shat=1.3633297049e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=14 depth=20 w=7.5631729469e+29 Shat=2.9876207837e+10 Lhat=5.9331499603e+08
KNUTH_SUBTREE root=15 depth=20 w=2.3319692435e+29 Shat=1.7190125686e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=16 depth=20 w=1.1643612305e+30 Shat=1.8787469229e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=17 depth=20 w=2.2333296116e+29 Shat=1.1751875278e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=18 depth=20 w=5.8667976744e+29 Shat=1.5620925947e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=19 depth=20 w=5.1706087499e+29 Shat=2.0366487116e+10 Lhat=2.6377627392e+08
KNUTH_SUBTREE root=20 depth=20 w=2.3244768160e+29 Shat=3.1925557026e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=21 depth=20 w=4.9901940118e+29 Shat=3.8905763554e+10 Lhat=2.7402122854e+09
KNUTH_SUBTREE root=22 depth=20 w=5.6841328222e+29 Shat=3.8332805700e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=23 depth=20 w=7.7613744294e+29 Shat=1.8945054979e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=24 depth=20 w=1.4474490169e+30 Shat=1.9878742206e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=25 depth=20 w=5.5647500660e+29 Shat=1.1676262943e+11 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=26 depth=20 w=1.9057456002e+29 Shat=2.3002243971e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=27 depth=20 w=1.2581888442e+30 Shat=9.0212110787e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=28 depth=20 w=1.4100939473e+30 Shat=7.7380234281e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=29 depth=20 w=1.0304182958e+30 Shat=2.1866578284e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=30 depth=20 w=1.5187134435e+30 Shat=7.4419407495e+10 Lhat=9.6868345493e+08
KNUTH_SUBTREE root=31 depth=20 w=1.2187519497e+30 Shat=1.7690527099e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=32 depth=20 w=1.3590736051e+30 Shat=3.4818408312e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=33 depth=20 w=6.0900900081e+29 Shat=1.3508725147e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=34 depth=20 w=1.2217259832e+30 Shat=6.1460165256e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=35 depth=20 w=1.2445334439e+30 Shat=1.3892558466e+08 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=36 depth=20 w=1.1775775061e+30 Shat=1.2210083006e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=37 depth=20 w=6.0499878529e+29 Shat=1.9968562888e+10 Lhat=7.1830224000e+08
KNUTH_SUBTREE root=38 depth=20 w=6.7627683148e+29 Shat=4.5438363814e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=39 depth=20 w=2.1364342183e+29 Shat=4.1380765188e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=40 depth=20 w=1.3997189201e+30 Shat=7.4450054241e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=41 depth=20 w=1.9301320839e+29 Shat=3.6972446260e+10 Lhat=6.2450203200e+08
KNUTH_SUBTREE root=42 depth=20 w=2.1314722482e+29 Shat=2.6613164303e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=43 depth=20 w=1.2547685076e+30 Shat=9.2646848607e+09 Lhat=1.3222725120e+08
KNUTH_SUBTREE root=44 depth=20 w=8.4034397215e+29 Shat=5.0670186967e+08 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=45 depth=20 w=9.2124069984e+29 Shat=2.3341624053e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=46 depth=20 w=3.3510870527e+29 Shat=1.0834903655e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=47 depth=20 w=5.8061644443e+29 Shat=2.1407509411e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=48 depth=20 w=6.9131443403e+29 Shat=2.5469439376e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=49 depth=20 w=1.3037678413e+30 Shat=3.5741528008e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=50 depth=20 w=2.3493163746e+29 Shat=3.6855627800e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=51 depth=20 w=1.2057798564e+30 Shat=8.3853838805e+09 Lhat=1.1233271808e+08
KNUTH_SUBTREE root=52 depth=20 w=3.7002499705e+29 Shat=1.0504328750e+10 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=53 depth=20 w=1.1151530114e+30 Shat=8.8241646717e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=54 depth=20 w=1.4052525190e+30 Shat=1.8235626378e+09 Lhat=0.0000000000e+00
KNUTH_SUBTREE root=55 depth=20 w=3.1559473125e+29 Shat=5.4956738654e+09 Lhat=0.0000000000e+00
