[f1] group self-checks PASS: |G48|=48 verified elementwise (Hamming isometry 64x64, 32-pair closure, pair-0 fixed, rev-commutation); quotient = 24 pair-perms, closed under composition, kernel {id,rev}
[f1] pair-orbits of the 31 free pairs: 3:[3,7,11] 3:[4,6,21] 3:[13,14,30] 4:[5,8,26,31] 6:[1,9,17,19,22,25] 6:[2,12,16,18,24,28] 6:[10,15,20,23,27,29]
18282	cd=31	16,2,32,1,31,62,55,59,61,47,8,4,12,51,33,30,18,45
record	m=32	2,16,32,1,31,62,55,59,61,47,4,8,12,51,33,30,18,45
12384	cd=31	32,1,8,4,55,59,47,61,62,31,2,16,18,45,12,51,33,30
record	m=32	32,1,4,8,59,55,61,47,31,62,2,16,18,45,12,51,33,30
24817	cd=31	4,8,2,16,61,47,31,62,55,59,32,1,33,30,18,45,12,51
record	m=32	4,8,2,16,61,47,31,62,55,59,32,1,33,30,18,45,12,51
13075	cd=31	18,45,47,61,31,62,16,2,4,8,32,1,55,59,51,12,30,33
record	m=64	18,45,61,47,31,62,2,16,4,8,32,1,55,59,51,12,30,33
11685	cd=23	32,1,31,62,61,47,55,59,8,4,16,2,18,45,12,51,33,30
record	m=16	32,1,31,62,61,47,55,59,8,4,2,16,18,45,12,51,33,30
5361	cd=23	12,51,55,59,61,47,8,4,2,16,32,1,31,62,30,33,45,18
record	m=32	12,51,55,59,61,47,4,8,2,16,32,1,31,62,30,33,45,18
19930	cd=31	8,4,2,16,55,59,62,31,61,47,32,1,33,30,12,51,18,45
record	m=64	4,8,2,16,55,59,31,62,61,47,32,1,33,30,12,51,18,45
23294	cd=31	32,1,55,59,31,62,61,47,8,4,2,16,18,45,33,30,12,51
record	m=64	32,1,55,59,31,62,61,47,4,8,2,16,18,45,33,30,12,51
6393	cd=23	12,51,33,30,62,31,1,32,16,2,8,4,55,59,61,47,45,18
record	m=16	12,51,33,30,31,62,32,1,2,16,4,8,59,55,61,47,45,18
7005	cd=23	33,30,12,51,55,59,31,62,8,4,32,1,16,2,47,61,45,18
record	m=32	33,30,12,51,55,59,31,62,4,8,32,1,2,16,61,47,45,18
16111	cd=31	12,51,18,45,47,61,4,8,2,16,32,1,59,55,31,62,30,33
record	m=64	12,51,18,45,61,47,4,8,2,16,32,1,55,59,31,62,30,33
19777	cd=23	16,2,47,61,59,55,31,62,8,4,32,1,33,30,12,51,18,45
record	m=32	2,16,61,47,55,59,31,62,4,8,32,1,33,30,12,51,18,45
10762	cd=31	16,2,32,1,31,62,55,59,61,47,4,8,12,51,18,45,33,30
record	m=32	2,16,32,1,31,62,55,59,61,47,4,8,12,51,18,45,33,30
20389	cd=23	16,2,47,61,59,55,31,62,4,8,1,32,33,30,12,51,18,45
record	m=32	2,16,61,47,55,59,31,62,4,8,32,1,33,30,12,51,18,45
10077	cd=31	2,16,32,1,61,47,59,55,62,31,8,4,12,51,18,45,33,30
record	m=64	2,16,32,1,61,47,55,59,31,62,4,8,12,51,18,45,33,30
12068	cd=23	32,1,8,4,55,59,31,62,47,61,16,2,18,45,12,51,33,30
record	m=16	32,1,4,8,59,55,31,62,61,47,2,16,18,45,12,51,33,30
18314	cd=23	16,2,1,32,47,61,62,31,55,59,8,4,12,51,33,30,18,45
record	m=32	2,16,32,1,61,47,31,62,55,59,8,4,12,51,33,30,18,45
7204	cd=23	33,30,12,51,55,59,8,4,32,1,2,16,62,31,47,61,45,18
record	m=32	33,30,12,51,55,59,8,4,32,1,2,16,31,62,61,47,45,18
12188	cd=31	8,4,47,61,59,55,31,62,32,1,2,16,18,45,12,51,33,30
record	m=32	4,8,61,47,55,59,31,62,32,1,2,16,18,45,12,51,33,30
12530	cd=31	32,1,4,8,31,62,61,47,59,55,2,16,18,45,12,51,33,30
record	m=64	32,1,4,8,31,62,61,47,55,59,2,16,18,45,12,51,33,30
17979	cd=31	2,16,55,59,61,47,31,62,32,1,8,4,12,51,33,30,18,45
record	m=32	2,16,55,59,61,47,31,62,32,1,4,8,12,51,33,30,18,45
2481	cd=23	18,45,33,30,62,31,1,32,8,4,2,16,61,47,59,55,51,12
record	m=16	18,45,33,30,31,62,32,1,4,8,2,16,61,47,55,59,51,12
11591	cd=31	4,8,62,31,55,59,61,47,32,1,16,2,18,45,12,51,33,30
record	m=64	4,8,31,62,55,59,61,47,32,1,2,16,18,45,12,51,33,30
3468	cd=31	18,45,33,30,62,31,8,4,32,1,2,16,61,47,55,59,51,12
record	m=32	18,45,33,30,31,62,4,8,32,1,2,16,61,47,55,59,51,12
24666	cd=31	8,4,2,16,55,59,62,31,61,47,32,1,33,30,18,45,12,51
record	m=64	4,8,2,16,55,59,31,62,61,47,32,1,33,30,18,45,12,51
24454	cd=31	16,2,55,59,61,47,62,31,8,4,32,1,33,30,18,45,12,51
record	m=64	2,16,55,59,61,47,31,62,4,8,32,1,33,30,18,45,12,51
3159	cd=31	33,30,18,45,47,61,62,31,1,32,8,4,2,16,55,59,51,12
record	m=32	33,30,18,45,61,47,31,62,32,1,4,8,2,16,55,59,51,12
16521	cd=31	18,45,12,51,55,59,2,16,8,4,1,32,47,61,31,62,30,33
record	m=64	18,45,12,51,55,59,2,16,4,8,32,1,61,47,31,62,30,33
14367	cd=31	12,51,18,45,47,61,55,59,16,2,1,32,4,8,62,31,30,33
record	m=64	12,51,18,45,61,47,55,59,2,16,32,1,4,8,31,62,30,33
4426	cd=23	33,30,62,31,47,61,1,32,2,16,8,4,55,59,51,12,45,18
