[f1] group self-checks PASS: |G48|=48 verified elementwise (Hamming isometry 64x64, 32-pair closure, pair-0 fixed, rev-commutation); quotient = 24 pair-perms, closed under composition, kernel {id,rev}
[f1] pair-orbits of the 31 free pairs: 3:[3,7,11] 3:[4,6,21] 3:[13,14,30] 4:[5,8,26,31] 6:[1,9,17,19,22,25] 6:[2,12,16,18,24,28] 6:[10,15,20,23,27,29]
6790	cd=39	33,30,62,31,55,59,47,61,32,1,2,16,8,4,12,51,45,18
record	m=64	33,30,31,62,55,59,61,47,32,1,2,16,4,8,12,51,45,18
11266	cd=39	16,2,8,4,32,1,59,55,62,31,47,61,45,18,12,51,33,30
record	m=128	2,16,4,8,32,1,55,59,31,62,61,47,45,18,51,12,33,30
4084	cd=39	30,33,32,1,16,2,4,8,61,47,62,31,59,55,51,12,45,18
record	m=64	30,33,32,1,2,16,4,8,61,47,31,62,55,59,51,12,45,18
24044	cd=39	32,1,2,16,8,4,55,59,31,62,61,47,45,18,30,33,12,51
record	m=64	32,1,2,16,4,8,59,55,31,62,61,47,45,18,33,30,12,51
4228	cd=39	33,30,62,31,8,4,16,2,32,1,47,61,59,55,51,12,45,18
record	m=64	33,30,31,62,4,8,2,16,32,1,61,47,55,59,51,12,45,18
17761	cd=39	4,8,32,1,16,2,62,31,47,61,55,59,51,12,33,30,18,45
record	m=128	4,8,32,1,2,16,31,62,61,47,55,59,51,12,33,30,18,45
7634	cd=39	51,12,30,33,1,32,8,4,16,2,62,31,55,59,47,61,45,18
record	m=128	51,12,30,33,32,1,4,8,2,16,31,62,55,59,61,47,45,18
4522	cd=39	33,30,62,31,2,16,4,8,32,1,61,47,55,59,51,12,45,18
record	m=64	33,30,31,62,2,16,4,8,32,1,61,47,55,59,51,12,45,18
3897	cd=39	18,45,30,33,32,1,8,4,2,16,61,47,31,62,55,59,51,12
record	m=64	18,45,30,33,32,1,4,8,2,16,61,47,31,62,55,59,51,12
18282	cd=31	16,2,32,1,31,62,55,59,61,47,8,4,12,51,33,30,18,45
