# V3 REL grid: K=32  step=floor(N/K)=816
i	r	walk
0	0	33,30,62,31,55,59,8,4,16,2,32,1,61,47,45,18,51,12
1	816	18,45,61,47,62,31,55,59,2,16,8,4,32,1,33,30,51,12
2	1632	45,18,16,2,8,4,1,32,47,61,59,55,31,62,30,33,51,12
3	2448	18,45,33,30,62,31,8,4,2,16,32,1,61,47,59,55,51,12
4	3264	33,30,45,18,16,2,4,8,32,1,61,47,62,31,55,59,51,12
5	4080	30,33,32,1,16,2,8,4,61,47,62,31,59,55,51,12,45,18
6	4896	12,51,59,55,62,31,61,47,2,16,8,4,1,32,33,30,45,18
7	5712	51,12,8,4,16,2,32,1,55,59,47,61,31,62,30,33,45,18
8	6528	51,12,30,33,32,1,8,4,2,16,31,62,55,59,61,47,45,18
9	7344	33,30,12,51,59,55,31,62,8,4,16,2,1,32,47,61,45,18
10	8160	16,2,32,1,4,8,31,62,55,59,61,47,45,18,51,12,33,30
11	8976	8,4,32,1,16,2,62,31,61,47,55,59,51,12,45,18,33,30
12	9792	16,2,32,1,4,8,61,47,31,62,55,59,51,12,18,45,33,30
13	10608	32,1,2,16,59,55,61,47,62,31,4,8,12,51,18,45,33,30
14	11424	8,4,32,1,16,2,62,31,55,59,47,61,45,18,12,51,33,30
15	12240	1,32,62,31,59,55,47,61,8,4,2,16,18,45,12,51,33,30
16	13056	18,45,61,47,62,31,8,4,16,2,32,1,55,59,51,12,30,33
17	13872	12,51,59,55,62,31,8,4,1,32,16,2,47,61,45,18,30,33
18	14688	12,51,18,45,47,61,16,2,32,1,4,8,59,55,62,31,30,33
19	15504	18,45,61,47,59,55,62,31,16,2,1,32,8,4,12,51,30,33
20	16320	12,51,18,45,61,47,8,4,32,1,2,16,55,59,31,62,30,33
21	17136	16,2,32,1,4,8,61,47,55,59,31,62,30,33,51,12,18,45
22	17952	16,2,31,62,61,47,55,59,32,1,8,4,12,51,33,30,18,45
23	18768	16,2,31,62,61,47,55,59,1,32,4,8,12,51,33,30,18,45
24	19584	16,2,32,1,4,8,61,47,31,62,55,59,51,12,30,33,18,45
25	20400	8,4,47,61,59,55,62,31,2,16,1,32,33,30,12,51,18,45
26	21216	8,4,16,2,32,1,61,47,55,59,31,62,30,33,12,51,18,45
27	22032	16,2,32,1,4,8,59,55,62,31,61,47,45,18,33,30,12,51
28	22848	32,1,61,47,59,55,31,62,4,8,16,2,18,45,33,30,12,51
29	23664	8,4,1,32,62,31,47,61,55,59,2,16,18,45,33,30,12,51
30	24480	2,16,61,47,62,31,55,59,8,4,32,1,33,30,18,45,12,51
31	25296	8,4,2,16,59,55,31,62,61,47,1,32,33,30,18,45,12,51
