consumer_verdict_count	17
consumer_verdict	TR12_A2_SLOT
consumer_verdict	TR12_A3_EXTERNAL
consumer_verdict	TR12_A5_ORBIT_COLUMNS
consumer_verdict	TR12_A5_ORBIT_MEMBERSHIP
consumer_verdict	TR12_Q10A
consumer_verdict	TR12_Q3
consumer_verdict	TR12_Q3_KW
consumer_verdict	TR12_Q3_READER
consumer_verdict	TR12_Q6
consumer_verdict	TR12_Q6_EXTREMES
consumer_verdict	TR12_V1
consumer_verdict	TR12_V2
consumer_verdict	TR12_V5
consumer_verdict	TR12_XA_A
consumer_verdict	TR12_XA_B
consumer_verdict	TR12_XA_CD
consumer_verdict	TR12_XA_MOD24
