# V1 positional-marginal field — source: atlas.layers[k].marginal_raw (RAW frame)
k	pair	mass
0	3	4736
0	7	4736
0	11	4736
0	13	3968
0	14	3968
0	30	3968
1	3	4096
1	4	2624
1	6	2624
1	7	4096
1	11	4096
1	13	1984
1	14	1984
1	21	2624
1	30	1984
2	3	4448
2	4	4256
2	6	4256
2	7	4448
2	11	4448
2	21	4256
3	3	2976
3	4	5728
3	6	5728
3	7	2976
3	11	2976
3	21	5728
4	3	4608
4	4	4096
4	6	4096
4	7	4608
4	11	4608
4	21	4096
5	3	4256
5	4	4448
5	6	4448
5	7	4256
5	11	4256
5	21	4448
6	3	992
6	4	2976
6	6	2976
6	7	992
6	11	992
6	13	4736
6	14	4736
6	21	2976
6	30	4736
7	4	1984
7	6	1984
7	13	6720
7	14	6720
7	21	1984
7	30	6720
8	13	8704
8	14	8704
8	30	8704
