# V5 transition grammar — REDUCED FORM (§3.1): P(distance class | layer k).
# The spec's second dimension (new-pair category) is ABSENT from this atlas schema.
k	class	mass	p
0	d1	14208	0.544117647
0	d2	9216	0.352941176
0	d3	0	0
0	d4	2688	0.102941176
0	d6	0	0
1	d1	5952	0.227941176
1	d2	15552	0.595588235
1	d3	0	0
1	d4	4608	0.176470588
1	d6	0	0
2	d1	5952	0.227941176
2	d2	15264	0.584558823
2	d3	0	0
2	d4	4896	0.187500000
2	d6	0	0
3	d1	0	0
3	d2	15168	0.580882352
3	d3	0	0
3	d4	10944	0.419117647
3	d6	0	0
4	d1	0	0
4	d2	18528	0.709558823
4	d3	0	0
4	d4	7584	0.290441176
4	d6	0	0
5	d1	0	0
5	d2	18528	0.709558823
5	d3	0	0
5	d4	7584	0.290441176
5	d6	0	0
6	d1	14208	0.544117647
6	d2	8640	0.330882352
6	d3	0	0
6	d4	3264	0.125000000
6	d6	0	0
7	d1	5952	0.227941176
7	d2	14688	0.562500000
7	d3	0	0
7	d4	5472	0.209558823
7	d6	0	0
8	d1	5952	0.227941176
8	d2	14976	0.573529411
8	d3	0	0
8	d4	5184	0.198529411
8	d6	0	0
