scope	k	flow	orbits	mod24_ok
global	-1	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	0	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	1	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	2	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	3	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	4	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	5	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	6	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	7	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	8	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	9	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	10	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	11	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	12	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	13	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	14	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	15	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	16	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	17	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	18	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	19	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	20	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	21	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	22	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	23	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	24	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	25	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	26	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	27	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	28	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	29	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
layer	30	1097051278789181790036112071176579186688	45710469949549241251504669632357466112	1
