step	pair	entry	exit	orient	alts	mass_below	f	g	g_parent	p_num	p_den	p	bits
1	1	17	34	0	56	0	1	20194201635582159760158644047785754624	1097051278789181790036112071176579186688	20194201635582159760158644047785754624	1097051278789181790036112071176579186688	0.018407709854611856	5.763546
2	2	23	58	0	54	0	1	338692541627798967020975639684513792	20194201635582159760158644047785754624	338692541627798967020975639684513792	20194201635582159760158644047785754624	0.016771771805577256	5.897821
3	3	2	16	0	52	0	3	7724414341617938589954817635090432	338692541627798967020975639684513792	7724414341617938589954817635090432	338692541627798967020975639684513792	0.022806567586323075	5.454407
4	4	55	59	0	51	0	6	116051066010157309681216728752128	7724414341617938589954817635090432	116051066010157309681216728752128	7724414341617938589954817635090432	0.015023930731536795	6.056594
5	5	7	56	0	49	0	18	1628879170258092142427615223808	116051066010157309681216728752128	1628879170258092142427615223808	116051066010157309681216728752128	0.014035882876901151	6.154736
6	6	61	47	0	47	0	75	35883878955266245155841403904	1628879170258092142427615223808	35883878955266245155841403904	1628879170258092142427615223808	0.022029797919007416	5.504400
7	7	4	8	0	46	0	378	464485390953138053737699328	35883878955266245155841403904	464485390953138053737699328	35883878955266245155841403904	0.012944124338736549	6.271559
8	8	25	38	0	44	0	4128	9496985942109515278290944	464485390953138053737699328	9496985942109515278290944	464485390953138053737699328	0.020446253266698901	5.612020
9	9	3	48	0	41	0	85184	364675375559021630295040	9496985942109515278290944	364675375559021630295040	9496985942109515278290944	0.038399064480242688	4.702785
10	10	41	37	0	40	0	2059040	12731926690967534860288	364675375559021630295040	12731926690967534860288	364675375559021630295040	0.034913041966297805	4.840090
11	11	32	1	0	37	0	38593744	246332362491830719744	12731926690967534860288	246332362491830719744	12731926690967534860288	0.019347610811063446	5.691701
12	12	57	39	0	36	0	578215232	8848851392623784000	246332362491830719744	8848851392623784000	246332362491830719744	0.035922407040273664	4.798972
13	13	33	30	0	36	0	7429630240	231171033392983360	8848851392623784000	231171033392983360	8848851392623784000	0.026124411308984425	5.258458
14	14	18	45	0	34	0	105911374720	5115829149524752	231171033392983360	5115829149524752	231171033392983360	0.022130061342192498	5.497849
15	15	28	14	0	30	0	2906887724448	245616513562792	5115829149524752	245616513562792	5115829149524752	0.048011086059355437	4.380489
16	16	60	15	0	30	0	72181075135048	12661719028088	245616513562792	12661719028088	245616513562792	0.051550764418985307	4.277862
17	17	40	5	0	27	0	1754624873975600	511647396688	12661719028088	511647396688	12661719028088	0.040408999406241129	4.629180
18	18	53	43	0	24	0	37325310377255424	13601355804	511647396688	13601355804	511647396688	0.026583455504795695	5.233328
19	19	20	10	0	23	0	360865907662883392	2964254208	13601355804	2964254208	13601355804	0.21793814166145462	2.198009
20	20	35	49	0	21	0	14758649108711703552	227745800	2964254208	227745800	2964254208	0.076830725038815564	3.702173
21	21	31	62	0	19	0	502219451580676594432	8889000	227745800	8889000	227745800	0.039030357530193751	4.679260
22	22	24	6	0	19	0	17495804747179981949952	690176	8889000	690176	8889000	0.077643829452131848	3.686985
23	23	26	22	0	18	0	591238958168078878828544	51280	690176	51280	690176	0.074299888724035608	3.750496
24	24	29	46	0	15	0	21300017473055780632961024	5624	51280	5624	51280	0.10967238689547582	3.188728
25	25	9	36	0	12	0	905589585272067490740305920	320	5624	320	5624	0.056899004267425320	4.135453
26	26	52	11	0	6	0	117455051834374320176371269632	52	320	52	320	0.1625	2.621488
27	27	13	44	0	5	0	4792089151124904042459627126784	10	52	10	52	0.19230769230769231	2.378512
28	28	54	27	0	2	0	214731128676385385947456604815360	6	10	6	10	0.6	0.736966
29	29	50	19	0	3	0	9485495890079454239249627178401792	2	6	2	6	0.33333333333333333	1.584963
30	30	51	12	0	1	0	798015720766462055566180508261941248	2	2	2	2	1	0.000000
31	31	21	42	0	2	0	34868980338541719566608014018638512128	1	2	1	2	0.5	1.000000
