k	slot	argmax_d	argmax_mass	argmin_nonzero_d	argmin_mass	ratio	kw_d	kw_class_mass	kw_p	kw_class_pct
0	2	3	458591394366226205277428420967596556288	1	67316588476317360788535374930333663232	6.8124574454268902	2	304475928197561882413036333470698176512	0.27754028830230499	0.58197815978814166
1	3	3	459303891379192234311570163719865368576	6	34337084098603553583877962548574683136	13.376321939866512	4	247159118084818561680835832264307769344	0.22529404309852197	0.32222223092389884
2	4	3	461184432038024503588389519822875000832	6	36596893677630788986166799244644581376	12.601737079120336	3	461184432038024503588389519822875000832	0.42038548329940867	1
3	5	3	460658598457254230554992569180057763840	6	36686806367422200059278018885762154496	12.556519470343377	4	246505313517630275421373563301596758016	0.22469807773224493	0.32284014054755933
4	6	3	460496805876036341773529894164138819584	6	36733545737645798087752778100919762944	12.536138198172996	4	246515775143667488264612737031658799104	0.22470761386445633	0.32286481289116542
5	7	3	460579863233170210872595585810776981504	6	36720748150440726516514401151849857024	12.542769045614946	2	282278327143934134709341814377106374656	0.25730641092318440	0.58016560197485632
6	8	3	460624588495377412303544323493502910464	6	36710981283017311178732404796295217152	12.547324326317170	4	246503387483055254748481835629195296768	0.22469632208543766	0.32285045516469823
7	9	3	460604982259402026971378915405746667520	6	36713682560647056063550044329358655488	12.545867102776523	2	282259745599299060277743905412004970496	0.25728947320569175	0.58014270511787481
8	10	3	460586151793858370900306873451496341504	6	36716979646036940394136684673756037120	12.544227663442134	3	460586151793858370900306873451496341504	0.41984013026465677	1
9	11	3	460593394305988354817787422000516431872	6	36716073604760508538461356332714819584	12.544734474175066	3	460593394305988354817787422000516431872	0.41984673206374311	1
10	12	3	460605776156284043313860428079252373504	6	36714281618947739622082349850314145792	12.545684018465765	2	282259509734275366098858878258928156672	0.25728925820660442	0.58014198145354174
11	13	3	460601695984879323090207199175645331456	6	36714757770350649136332583576579080192	12.545410182628049	3	460601695984879323090207199175645331456	0.41985429932978753	1
12	14	3	460588046753393410849681293874550538240	6	36716383887322721420146455855558033408	12.544482816359901	2	282271447262271411727499915558551289856	0.25730013967425033	0.58015814241450447
13	15	3	460592231141398164449627863736094031872	6	36715845977770007402211502599809531904	12.544780567503975	2	282268772345853184161854441797938315264	0.25729770139586723	0.58015432820081578
14	16	3	460629186746473807000494859418572161024	6	36712599830178562946437839824741203968	12.546896402793749	3	460629186746473807000494859418572161024	0.41987935810518482	1
15	17	3	460553529631576341712582296665554157568	6	36718616218274904419791539989102198784	12.542780122589648	3	460553529631576341712582296665554157568	0.41981039404091522	1
16	18	3	460629450806443364110224379435448008704	6	36713305775667138305175720039674806272	12.546662336022586	4	246490673536491403877769917202186633216	0.22468473288554366	0.32284152881647890
17	19	3	460591904352882679644904606175154143232	6	36715539306930046395535743802964705280	12.544876448701548	2	282267881607980891865232604742562086912	0.25729688945763834	0.58015462607979537
18	20	3	460588193757362191921593173633358888960	6	36715798779132491985346657984526155776	12.544686730855997	6	36715798779132491985346657984526155776	0.033467714307444051	0.033467714307444051
19	21	3	460601783999780060205531453399918182400	6	36715169788160768543743144696435703808	12.545271795210557	3	460601783999780060205531453399918182400	0.41985437955839894	1
20	22	3	460605671779231668638478735853316210688	6	36715059774372395271122683043789144064	12.545415276723602	4	246502489031080374560232789485618724864	0.22469550311553876	0.32285093073804257
21	23	3	460593280190017111699673079916705873920	6	36715369972652953332530996873445507072	12.544971779750144	3	460593280190017111699673079916705873920	0.41984662804310757	1
22	24	3	460586296398969591514962226053705105408	6	36715437430619175618876216072109817856	12.544758516614034	3	460586296398969591514962226053705105408	0.41984026207719281	1
23	25	3	460605289927535104765148683460155539456	6	36715374031715820897372901366340517888	12.545297496619555	3	460605289927535104765148683460155539456	0.41985757533221811	1
24	26	3	460624285960455646467838138515468582912	6	36715496851822657777008215600526262272	12.545772914893538	4	246485886991507712442912018749447995392	0.22468036978504304	0.32283897112949560
25	27	3	460578380873767145190942639152789716992	6	36714554268328368740509813431506829312	12.544844682237715	1	70962655477605849846048813870483505152	0.064684902929904524	0.098151482822915827
26	28	3	460496610420302713911411793038302773248	6	36712890226755778413270576807234502656	12.543185992060631	2	282293276264583464574049195551187009536	0.25732003756118971	0.58024148977926177
27	29	3	460679040319496981367379253143812440064	6	36722414258709175889205535060367769600	12.544900699447919	3	460679040319496981367379253143812440064	0.41992480135290447	1
28	30	3	461339380940457661258718454086413320192	6	36746677959004640081528295732346355712	12.554587422981133	3	461339380940457661258718454086413320192	0.42052672455715933	1
29	31	3	459997575125820209225507860361892593664	6	36661198363576908965525385249332133888	12.547259654851604	1	70901174023260668585103493186266857472	0.064628860468140076	0.098046804617514720
30	32	3	446354910788306158759164820102846611456	6	34831711572684001463887463655999012864	12.814613196853356	3	446354910788306158759164820102846611456	0.40686786426332703	1
