k	slot	pair	mass	p	kw
0	2	0	0	0	0
0	2	1	40388403271164319520317288095571509248	0.036815419709223711	1
0	2	2	35357086215491818999503303247286763520	0.032229201040187950	0
0	2	3	22438862825439120262845124976777887744	0.020453795788110241	0
0	2	4	0	0	0
0	2	5	46461826498645240684196942196904034304	0.042351554022092088	0
0	2	6	0	0	0
0	2	7	22438862825439120262845124976777887744	0.020453795788110241	0
0	2	8	46461826498645240684196942196904034304	0.042351554022092088	0
0	2	9	40388403271164319520317288095571509248	0.036815419709223711	0
0	2	10	45457348061940873756773442029996736512	0.041435937353914998	0
0	2	11	22438862825439120262845124976777887744	0.020453795788110241	0
0	2	12	35357086215491818999503303247286763520	0.032229201040187950	0
0	2	13	38890119675567130950408242407166443520	0.035449682642446990	0
0	2	14	38890119675567130950408242407166443520	0.035449682642446990	0
0	2	15	45457348061940873756773442029996736512	0.041435937353914998	0
0	2	16	35357086215491818999503303247286763520	0.032229201040187950	0
0	2	17	40388403271164319520317288095571509248	0.036815419709223711	0
0	2	18	35357086215491818999503303247286763520	0.032229201040187950	0
0	2	19	40388403271164319520317288095571509248	0.036815419709223711	0
0	2	20	45457348061940873756773442029996736512	0.041435937353914998	0
0	2	21	0	0	0
0	2	22	40388403271164319520317288095571509248	0.036815419709223711	0
0	2	23	45457348061940873756773442029996736512	0.041435937353914998	0
0	2	24	35357086215491818999503303247286763520	0.032229201040187950	0
0	2	25	40388403271164319520317288095571509248	0.036815419709223711	0
0	2	26	46461826498645240684196942196904034304	0.042351554022092088	0
0	2	27	45457348061940873756773442029996736512	0.041435937353914998	0
0	2	28	35357086215491818999503303247286763520	0.032229201040187950	0
0	2	29	45457348061940873756773442029996736512	0.041435937353914998	0
0	2	30	38890119675567130950408242407166443520	0.035449682642446990	0
0	2	31	46461826498645240684196942196904034304	0.042351554022092088	0
1	3	0	0	0	0
1	3	1	35232919149601068326077174656770506752	0.032116018485925041	0
1	3	2	35374610268674071056393587616768851968	0.032245174817823571	1
1	3	3	35401953049498654869831819448649515008	0.032270098703655747	0
1	3	4	36274169069673961134916599843688808448	0.033065153626829414	0
1	3	5	35196278156564132715981558840857985024	0.032082618959626347	0
1	3	6	36274169069673961134916599843688808448	0.033065153626829414	0
