k	d	w	mass	p_cond	kw_d	kw_w
0	1	2	67316588476317360788535374930333663232	0.061361387364330723	2	4
0	1	4	0	0	2	4
0	1	6	0	0	2	4
0	2	2	0	0	2	4
0	2	4	242330419626985917121903728573429055488	0.22089251825534227	2	4
0	2	6	62145508570575965291132604897269121024	0.056647770046962724	2	4
0	3	2	272744088371645242540640652179980419072	0.24861562412348999	2	4
0	3	4	0	0	2	4
0	3	6	185847305994580962736787768787616137216	0.16940621608836835	2	4
0	4	2	0	0	2	4
0	4	4	212142517292950913997019819483720581120	0.19337520624112770	2	4
0	4	6	54524850456125427560092122324230209536	0.049701277880378244	2	4
0	6	2	0	0	2	4
0	6	4	0	0	2	4
0	6	6	0	0	2	4
1	1	2	27392468482188860255416758241547255808	0.024969177842280988	4	4
1	1	4	27613222474771315326349625834701062144	0.025170402704646675	4	4
1	1	6	16992417348983968895809731799925391360	0.015489173275235176	4	4
1	2	2	102632633588965154781002448413789257728	0.093553178026683535	4	4
1	2	4	115687328620918425381731853674779508736	0.10545298187756804	4	4
1	2	6	65933114710739715819517694679088889856	0.060100303409253811	4	4
1	3	2	186661013405194117868625342010497171456	0.17014793840011958	4	4
1	3	4	166707134759556730675906739417169002496	0.15195929122251405	4	4
1	3	6	105935743214441385767038082292199194624	0.096564076139962143	4	4
1	4	2	95949465115774628420078278164061618176	0.087461239935542749	4	4
1	4	4	93475183786998904520883588930572648448	0.085205847342129436	4	4
1	4	6	57734469182045028739873965169673502720	0.052626955820849783	4	4
1	6	2	14174777231198093193925196764560752640	0.012920797327580557	4	4
1	6	4	20162306867405460389952765784013930496	0.018378636675633475	4	4
1	6	6	0	0	4	4
2	1	2	25065904156559109366793912349003612160	0.022848434381503488	3	2
2	1	4	29269529573067990288948156556451512320	0.026680183633141417	3	2
2	1	6	16852909062232388462829448747171184640	0.015362006670128479	3	2
2	2	2	104858387440604144099944939031522967552	0.095582029270624985	3	2
2	2	4	110263704754790527388491503596010995712	0.10050916204800276	3	2
2	2	6	66456926341689451157719727200316424192	0.060577775739925416	3	2
2	3	2	169111127289535997256953455763710279680	0.15415061315655579	3	2
2	3	4	188791745359092084288164810340496834560	0.17209017391371350	3	2
2	3	6	103281559389396422043271253718667886592	0.094144696229139384	3	2
2	4	2	98909893577604692138105526315814748160	0.090159772373422495	3	2
2	4	4	89391610054255788031665259096792104960	0.081483529332300245	3	2
2	4	6	58201088112722406527057279215976054784	0.053052295036708851	3	2
2	6	2	17837737819870452855170745957605179392	0.016259711979514766	3	2
2	6	4	18759155857760336130996053287039401984	0.017099616235318428	3	2
2	6	6	0	0	3	2
3	1	2	25678781097149655285447524472349261824	0.023407092807449611	4	2
3	1	4	28534302872626892947124687951263432704	0.026009999189937843	4	2
3	1	6	16766985177350124012632005005124042752	0.015283684091646005	4	2
3	2	2	101130015029023189438226906754607742976	0.092183489490701508	4	2
3	2	4	114783290655402748244867191135015010304	0.10462892015593779	4	2
3	2	6	66307185615322474072169604490803019776	0.060441281913919173	4	2
3	3	2	172243344724086385388231227103168692224	0.15700573715587096	4	2
3	3	4	185043648771911416427908448622420688896	0.16867365486884492	4	2
3	3	6	103371604961256428738852893454468382720	0.094226775867166323	4	2
3	4	2	95364244972846178748590710675319291904	0.086927791632584333	4	2
3	4	4	93084802804094096449699337643434704896	0.084850001639697302	4	2
3	4	6	58056265740690000223083514982842761216	0.052920284459963298	4	2
3	6	2	17243968770848422005352072879345238016	0.015718471054407441	4	2
3	6	4	19442837596573778053925946006416916480	0.017722815671873503	4	2
3	6	6	0	0	4	2
4	1	2	25996140458572098277147631611388362752	0.023696376788570998	4	6
4	1	4	28166212947231334377932057304738299904	0.025674472553660804	4	6
4	1	6	16787581571166211640908062225038573568	0.015302458413516191	4	6
4	2	2	100424430179471205771468717096607678464	0.091540324614825569	4	6
4	2	4	115680544259676649709161725479306133504	0.10544679769878538	4	6
4	2	6	66250242615714662133598468162782756864	0.060389376409856811	4	6
4	3	2	174315908475767719535926878218578034688	0.15889495035105435	4	6
4	3	4	182711861468437407315114212063503712256	0.16654815048399282	4	6
4	3	6	103469035931831214922488803882057072640	0.094315587550319659	4	6
4	4	2	94698299195065702756687656098407120896	0.086320759134964457	4	6
4	4	4	93810547022591248023006755505901142016	0.085511542474231634	4	6
4	4	6	58006928926010537484918325427350536192	0.052875312255260236	4	6
4	6	2	17084073886746991698929058018257534976	0.015572721364130514	4	6
4	6	4	19649471850898806388823720082662227968	0.017911169906830588	4	6
4	6	6	0	0	4	6
5	1	2	25985858863343521923514513478161268736	0.023687004760638152	2	2
5	1	4	28184482506466839167950533819912683520	0.025691125885723521	2	2
5	1	6	16791976545355007517631601507360047104	0.015306464583759798	2	2
5	2	2	100811111218263754787612623995691597824	0.091892797690851085	2	2
5	2	4	115204421761023604827006961888058671104	0.10501279565361339	2	2
5	2	6	66262794164646775094722228493356105728	0.060400817578719916	2	2
5	3	2	174323238819089082275797959780939595776	0.15890163221129469	2	2
5	3	4	182757736263081931981632131363141320704	0.16658996693827484	2	2
5	3	6	103498888150999196615165494666696065024	0.094342798875574144	2	2
5	4	2	95065951266884638490347989178156843008	0.086655886652635932	2	2
5	4	4	93424546998531981420995370240618528768	0.085159690166575336	2	2
5	4	6	58019524081054729417220261612636602368	0.052886793172595379	2	2
5	6	2	17146112287141409252227187605738881024	0.015629271501388354	2	2
5	6	4	19574635863299317264287213546110976000	0.017842954328355454	2	2
5	6	6	0	0	2	2
6	1	2	25926895131632847607111694096485318656	0.023633257289712497	4	2
6	1	4	28254317202078259903982199109280858112	0.025754782614412172	4	2
6	1	6	16787923596317922290530347153818124288	0.015302770181214132	4	2
6	2	2	100974497421052822997872746412155863040	0.092041729838279415	4	2
6	2	4	114996937639043639673474360487522074624	0.10482366673503726	4	2
6	2	6	66271750537606319332382159998323523584	0.060408981620941743	4	2
6	3	2	173954848423122841187141032953035882496	0.15856583168575059	4	2
6	3	4	183179966749496770176855188379914993664	0.16697484455938373	4	2
6	3	6	103489773322757800939548102160552034304	0.094334490395909041	4	2
6	4	2	95219949036003882879424630264675958784	0.086796260919633926	4	2
6	4	4	93255968732534420843247439736828067840	0.085006025274826956	4	2
6	4	6	58027469714516951025809765627691270144	0.052894035890976776	4	2
6	6	2	17177497777099825793307935915800264704	0.015657880455741934	4	2
6	6	4	19533483505917485385424468880494952448	0.017805442538179837	4	2
6	6	6	0	0	4	2
7	1	2	25916481331036239848259279592190115840	0.023623764752036317	2	6
7	1	4	28263826892388912994637293438554341376	0.025763451024444152	2	6
7	1	6	16785983955415628751643039024954736640	0.015301002131771234	2	6
7	2	2	100902307232698026980374762282354212864	0.091975925996881525	2	6
7	2	4	115087694919337103833632552379308048384	0.10490639511979757	2	6
7	2	6	66269743447263929463736590750342709248	0.060407152089012657	2	6
7	3	2	173878297850195687506647639141673598976	0.15849605320373501	2	6
7	3	4	183246698447579951662382366176434978816	0.16703567279902338	2	6
7	3	6	103479985961626387802348910087638089728	0.094325568879366792	2	6
7	4	2	95151362178529531004296382232838275072	0.086733741638356527	2	6
7	4	4	93329848168378591082215916501779611648	0.085073368923453583	2	6
7	4	6	58025365844084743042387295239151812608	0.052892118140664749	2	6
7	6	2	17166220183285790700217345567749046272	0.015647600540817190	2	6
7	6	4	19547462377361265363332698761609609216	0.017818184760639309	2	6
7	6	6	0	0	2	6
8	1	2	25931482661008182107401015534087569408	0.023637438980636187	3	4
8	1	4	28245305938543444861069532484329275392	0.025746568537541708	3	4
8	1	6	16786704947640040713559116485731811328	0.015301659340999601	3	4
8	2	2	100847733200679967378232577673018736640	0.091926179888314665	3	4
8	2	4	115158634925154010079963015488028540928	0.10497105937678217	3	4
8	2	6	66267564024175898415787054373328125952	0.060405165469854402	3	4
8	3	2	173970400870253889715855494737490345984	0.15858000827660987	3	4
8	3	4	183135241381085364126240860808476098560	0.16693407584667526	3	4
8	3	6	103480509542519117058210517905529896960	0.094326046141371633	3	4
8	4	2	95099851282213424781976236832774422528	0.086686787683411997	3	4
8	4	4	93387483735833783664761837453806927872	0.085125905726946311	3	4
8	4	6	58023386634037726738918126726221398016	0.052890314022584507	3	4
8	6	2	17156167685491002737844536582854410240	0.015638437343080542	3	4
8	6	4	19560811960545937656292148090901626880	0.017830353365191146	3	4
8	6	6	0	0	3	4
9	1	2	25938885912730353250167389412082581504	0.023644187299393303	3	2
9	1	4	28238022295016370496002454278075580416	0.025739929245771215	3	2
9	1	6	16787683976038352596227419108693508096	0.015302551759081819	3	2
9	2	2	100867854132079431662439788128543703040	0.091944520809827168	3	2
9	2	4	115132483199269966756430676136443248640	0.10494722117852319	3	2
9	2	6	66267959531542295304790179844542431232	0.060405525988431832	3	2
9	3	2	174019724972457205702297398288932929536	0.15862496889345337	3	2
9	3	4	183088730033268635690973254141205282816	0.16689167915226727	3	2
9	3	6	103484939300262513424516769570378219520	0.094330084018022473	3	2
9	4	2	95118968788715069799512486329460981760	0.086704213948593279	3	2
9	4	4	93366100041009971607776140543546884096	0.085106413753109487	3	2
9	4	6	58023853002031115206516759061959016448	0.052890739133062390	3	2
9	6	2	17159230374418630127388631778866495488	0.015641229089452696	3	2
9	6	4	19556843230341878411072724553848324096	0.017826735731010509	3	2
9	6	6	0	0	3	2
10	1	2	25934104210356505951735423858775162880	0.023639828613098233	2	2
10	1	4	28244661403864817944313691949422870528	0.025745981021997915	2	2
10	1	6	16787662779212723685997505736156905472	0.015302532437445685	2	2
10	2	2	100893787227614213876971180168467972096	0.091968159718997763	2	2
10	2	4	115097215836373324288954504129391099904	0.10491507376337632	2	2
10	2	6	66268506670287827932933193961069084672	0.060406024724230341	2	2
10	3	2	173991062035218488341036685751861903360	0.15859884163961128	2	2
10	3	4	183128554302615309529561087588587012096	0.16692798034448740	2	2
10	3	6	103486159818450245443262654738803458048	0.094331196562359579	2	2
10	4	2	95143463485028236348302037586490163200	0.086726541707365140	2	2
10	4	4	93337440520453533008826928372729774080	0.085080289613690891	2	2
10	4	6	58024378880758824062134827484509634560	0.052891218489622905	2	2
10	6	2	17163899887689330830914112926947213312	0.015645485511518814	2	2
10	6	4	19550381731258408791168236923366932480	0.017820845852197733	2	2
10	6	6	0	0	2	2
11	1	2	25928643361677878641534369563376877568	0.023634850861570834	3	4
11	1	4	28250103641386513618336919139448258560	0.025750941808815193	3	4
11	1	6	16787013144978206964494509152506216448	0.015301940273481177	3	4
11	2	2	100886203167246698310868849782442426368	0.091961246586937167	3	4
11	2	4	115107754259569898913887954883487727616	0.10492467989884175	3	4
11	2	6	66268450889174405248777113376747683840	0.060405973877825527	3	4
11	3	2	173955754716597896420008992958807277568	0.15856665780344679	3	4
11	3	4	183162557371359449895771035067752644608	0.16695897531199856	3	4
11	3	6	103483383896921976774427171149085409280	0.094328666214342181	3	4
11	4	2	95136249054976576629538050841352601600	0.086719965506059744	3	4
11	4	4	93346141056734848433951816433480499200	0.085088220451974875	3	4
11	4	6	58024266458206791048182705251512483840	0.052891116012597257	3	4
11	6	2	17162791752520423362257810720368361472	0.015644475408171475	3	4
11	6	4	19551966017830225774074772856210718720	0.017822289983937468	3	4
11	6	6	0	0	3	4
12	1	2	25929970729644515573600906514014404608	0.023636060803159072	2	6
12	1	4	28247061086356859886945312330328571904	0.025748168415184030	2	6
12	1	6	16786706365110996281886949152670089216	0.015301660633073165	2	6
12	2	2	100868921292623655074150245606373720064	0.091945493563393803	2	6
12	2	4	115133753586855037405750790717410639872	0.10494837918053242	2	6
12	2	6	66268772382792719247598879234766929920	0.060406266930324102	2	6
12	3	2	173962736069885541836312357315901652992	0.15857302154725953	2	6
12	3	4	183144436582693618773546664511995379712	0.16694245758943063	2	6
12	3	6	103480874100814250239822272046653505536	0.094326378448805371	2	6
12	4	2	95119908906622773991196336453987598336	0.086705070898424049	2	6
12	4	4	93367257420534579907201434996021657600	0.085107468744381988	2	6
12	4	6	58024496377924520397953466440897003520	0.052891325592333569	2	6
12	6	2	17159717716919024327866384470176169984	0.015641673318915636	2	6
12	6	4	19556666170403697092280071385381863424	0.017826574334782635	2	6
12	6	6	0	0	2	6
13	1	2	25935360267408996929974267998206164992	0.023640973552333778	2	6
13	1	4	28241843255865632284004959544779210752	0.025743412183098884	2	6
13	1	6	16787364735121451197821394377970286592	0.015302260759998117	2	6
13	2	2	100872436212158815550522294462173937664	0.091948697533530040	2	6
13	2	4	115127605843913191679237317090017804288	0.10494277530124190	2	6
13	2	6	66268730289781176932094830245746573312	0.060406228561095283	2	6
13	3	2	173996655223437719562502595342575337472	0.15860394002318493	2	6
13	3	4	183112064775626919697579851396742643712	0.16691294957308482	2	6
13	3	6	103483511142333525189545416996776050688	0.094328782202914464	2	6
13	4	2	95123284100567640870871370604132433920	0.086708147503875521	2	6
13	4	4	93362019516913245622022823216723001344	0.085102694214947853	2	6
13	4	6	58024557448283467117723447300926210048	0.052891381260067729	2	6
13	6	2	17160189579773283206576661933066289152	0.015642103438148331	2	6
13	6	4	19555656397996724195634840666743242752	0.017825653892478345	2	6
13	6	6	0	0	2	6
14	1	2	25937471303911250329765285536970309632	0.023642897834765301	3	2
14	1	4	28243601250648370495393857070537113600	0.025745014655851733	3	2
14	1	6	16788564085770541247327833659996635136	0.015303354009395186	3	2
14	2	2	100889245853328564181387192214784835584	0.091964020100026933	3	2
14	2	4	115091735759797766232981458352529735680	0.10491007848495906	3	2
14	2	6	66265125452561561908266010262227648512	0.060402942627894792	3	2
14	3	2	174015014975077220648173336086618046464	0.15862067556872822	3	2
14	3	4	183122058851741967262750587284273233920	0.16692205951744957	3	2
14	3	6	103492112919654619089570936047680880640	0.094336623019007024	3	2
14	4	2	95139176369908261987498573072919691264	0.086722633854375163	3	2
14	4	4	93333203106058578963013849583915630592	0.085076427064622418	3	2
14	4	6	58021369030544524743545312179384221696	0.052888474907556603	3	2
14	6	2	17163164457110470251288019427546628096	0.015644815141233414	3	2
14	6	4	19549435373068092695149820397194575872	0.017819983214134578	3	2
14	6	6	0	0	3	2
15	1	2	25921693639277048614865398566985138176	0.023628515950400136	3	4
15	1	4	28252157020404038822304202957095174144	0.025752813534464874	3	4
15	1	6	16785036482073630490961513411191504896	0.015300138477208938	3	4
15	2	2	100887543234327178788911877473131560960	0.091962468104204764	3	4
15	2	4	115128446626144082712237895638809837568	0.10494354170318422	3	4
15	2	6	66274450813032968857323117305653100544	0.060411443014933854	3	4
15	3	2	173906357013945546785218165700988764160	0.15852163009726074	3	4
15	3	4	183176307551018536666440465417240576000	0.16697150907402494	3	4
15	3	6	103470865066612258260923665547324817408	0.094317254869629529	3	4
15	4	2	95137452223968284766326377063901036544	0.086721062236007533	3	4
15	4	4	93362838694750879661800403128440324096	0.085103440923742120	3	4
