branch	pair	entry	exit	d	solutions	share	prefixes_t_units	t_source	walks	kw
0	1	34	17	2	20194201635582159760158644047785754624	0.018407709854611856	157166079606568401942448423474495473715	t-ladder		0
1	1	17	34	2	20194201635582159760158644047785754624	0.018407709854611856	157166079606568401942448423474495473715	t-ladder		1
2	2	58	23	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
3	2	23	58	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
4	3	16	2	1	11219431412719560131422562488388943872	0.010226897894055120	87155100935215576872931188231839917370	t-ladder		0
5	3	2	16	1	11219431412719560131422562488388943872	0.010226897894055120	87155100935215576872931188231839917370	t-ladder		0
6	5	56	7	3	23230913249322620342098471098452017152	0.021175777011046044	187645339616071075480274232127228606585	t-ladder		0
7	5	7	56	3	23230913249322620342098471098452017152	0.021175777011046044	187645339616071075480274232127228606585	t-ladder		0
8	7	8	4	1	11219431412719560131422562488388943872	0.010226897894055120	87155100935215576872931188231839917370	t-ladder		0
9	7	4	8	1	11219431412719560131422562488388943872	0.010226897894055120	87155100935215576872931188231839917370	t-ladder		0
10	8	38	25	3	23230913249322620342098471098452017152	0.021175777011046044	187645339616071075480274232127228606585	t-ladder		0
11	8	25	38	3	23230913249322620342098471098452017152	0.021175777011046044	187645339616071075480274232127228606585	t-ladder		0
12	9	48	3	2	20194201635582159760158644047785754624	0.018407709854611856	157166079606568401942448423474495473715	t-ladder		0
13	9	3	48	2	20194201635582159760158644047785754624	0.018407709854611856	157166079606568401942448423474495473715	t-ladder		0
14	10	37	41	3	22728674030970436878386721014998368256	0.020717968676957499	186380354338958174834584748503584089371	t-ladder		0
15	10	41	37	3	22728674030970436878386721014998368256	0.020717968676957499	186380354338958174834584748503584089371	t-ladder		0
16	11	1	32	1	11219431412719560131422562488388943872	0.010226897894055120	87155100935215576872931188231839917370	t-ladder		0
17	11	32	1	1	11219431412719560131422562488388943872	0.010226897894055120	87155100935215576872931188231839917370	t-ladder		0
18	12	39	57	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
19	12	57	39	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
20	13	30	33	4	18174950152041809186697374108076736512	0.016567092626792748	139093827575246399674680090565412782927	t-ladder		0
21	13	33	30	2	20715169523525321763710868299089707008	0.018882590015654241	158590068136618426773629083749691157519	t-ladder		0
22	14	45	18	4	18174950152041809186697374108076736512	0.016567092626792748	139093827575246399674680090565412782927	t-ladder		0
23	14	18	45	2	20715169523525321763710868299089707008	0.018882590015654241	158590068136618426773629083749691157519	t-ladder		0
24	15	14	28	3	22728674030970436878386721014998368256	0.020717968676957499	186380354338958174834584748503584089371	t-ladder		0
25	15	28	14	3	22728674030970436878386721014998368256	0.020717968676957499	186380354338958174834584748503584089371	t-ladder		0
26	16	15	60	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
27	16	60	15	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
28	17	5	40	2	20194201635582159760158644047785754624	0.018407709854611856	157166079606568401942448423474495473715	t-ladder		0
29	17	40	5	2	20194201635582159760158644047785754624	0.018407709854611856	157166079606568401942448423474495473715	t-ladder		0
30	18	43	53	4	17678543107745909499751651623643381760	0.016114600520093975	137570896803250223477580753503898023571	t-ladder		0
